date,series_id,kind,name,value,lower,upper
1989-01-01,australia,observed,target,1660.0,,
1989-02-01,australia,observed,target,3090.0,,
1989-03-01,australia,observed,target,2570.0,,
1989-04-01,australia,observed,target,1580.0,,
1989-05-01,australia,observed,target,1850.0,,
1989-06-01,australia,observed,target,1920.0,,
1989-07-01,australia,observed,target,1100.0,,
1989-08-01,australia,observed,target,1220.0,,
1989-09-01,australia,observed,target,1100.0,,
1989-10-01,australia,observed,target,1250.0,,
1989-11-01,australia,observed,target,2380.0,,
1989-12-01,australia,observed,target,9330.0,,
1990-01-01,australia,observed,target,4420.0,,
1990-02-01,australia,observed,target,2450.0,,
1990-03-01,australia,observed,target,1510.0,,
1990-04-01,australia,observed,target,3720.0,,
1990-05-01,australia,observed,target,3030.0,,
1990-06-01,australia,observed,target,1500.0,,
1990-07-01,australia,observed,target,1050.0,,
1990-08-01,australia,observed,target,1190.0,,
1990-09-01,australia,observed,target,1170.0,,
1990-10-01,australia,observed,target,1080.0,,
1990-11-01,australia,observed,target,1300.0,,
1990-12-01,australia,observed,target,1300.0,,
1991-01-01,australia,observed,target,1260.0,,
1991-02-01,australia,observed,target,1160.0,,
1991-03-01,australia,observed,target,1430.0,,
1991-04-01,australia,observed,target,1120.0,,
1991-05-01,australia,observed,target,990.0,,
1991-06-01,australia,observed,target,1290.0,,
1991-07-01,australia,observed,target,1170.0,,
1991-08-01,australia,observed,target,1580.0,,
1991-09-01,australia,observed,target,1360.0,,
1991-10-01,australia,observed,target,1200.0,,
1991-11-01,australia,observed,target,1940.0,,
1991-12-01,australia,observed,target,1920.0,,
1992-01-01,australia,observed,target,1180.0,,
1992-02-01,australia,observed,target,2100.0,,
1992-03-01,australia,observed,target,1580.0,,
1992-04-01,australia,observed,target,1320.0,,
1992-05-01,australia,observed,target,1500.0,,
1992-06-01,australia,observed,target,1310.0,,
1992-07-01,australia,observed,target,1300.0,,
1992-08-01,australia,observed,target,1260.0,,
1992-09-01,australia,observed,target,1780.0,,
1992-10-01,australia,observed,target,1520.0,,
1992-11-01,australia,observed,target,1960.0,,
1992-12-01,australia,observed,target,1870.0,,
1993-01-01,australia,observed,target,1360.0,,
1993-02-01,australia,observed,target,1740.0,,
1993-03-01,australia,observed,target,1580.0,,
1993-04-01,australia,observed,target,1720.0,,
1993-05-01,australia,observed,target,1710.0,,
1993-06-01,australia,observed,target,1710.0,,
1993-07-01,australia,observed,target,1870.0,,
1993-08-01,australia,observed,target,2230.0,,
1993-09-01,australia,observed,target,1510.0,,
1993-10-01,australia,observed,target,2200.0,,
1993-11-01,australia,observed,target,2700.0,,
1993-12-01,australia,observed,target,1940.0,,
1994-01-01,australia,observed,target,1660.0,,
1994-02-01,australia,observed,target,1980.0,,
1994-03-01,australia,observed,target,2060.0,,
1994-04-01,australia,observed,target,2130.0,,
1994-05-01,australia,observed,target,2630.0,,
1994-06-01,australia,observed,target,2110.0,,
1994-07-01,australia,observed,target,2590.0,,
1994-08-01,australia,observed,target,2230.0,,
1994-09-01,australia,observed,target,2260.0,,
1994-10-01,australia,observed,target,3450.0,,
1994-11-01,australia,observed,target,3240.0,,
1994-12-01,australia,observed,target,3350.0,,
1995-01-01,australia,observed,target,2660.0,,
1995-02-01,australia,observed,target,2850.0,,
1995-03-01,australia,observed,target,2960.0,,
1995-04-01,australia,observed,target,3220.0,,
1995-05-01,australia,observed,target,2850.0,,
1995-06-01,australia,observed,target,2920.0,,
1995-07-01,australia,observed,target,3520.0,,
1995-08-01,australia,observed,target,3450.0,,
1995-09-01,australia,observed,target,3250.0,,
1995-10-01,australia,observed,target,4250.0,,
1995-11-01,australia,observed,target,5360.0,,
1995-12-01,australia,observed,target,5310.0,,
1996-01-01,australia,observed,target,3610.0,,
1996-02-01,australia,observed,target,3930.0,,
1996-03-01,australia,observed,target,4260.0,,
1996-04-01,australia,observed,target,4180.0,,
1996-05-01,australia,observed,target,4420.0,,
1996-06-01,australia,observed,target,4190.0,,
1996-07-01,australia,observed,target,4460.0,,
1996-08-01,australia,observed,target,4000.0,,
1996-09-01,australia,observed,target,4400.0,,
1996-10-01,australia,observed,target,4940.0,,
1996-11-01,australia,observed,target,6450.0,,
1996-12-01,australia,observed,target,5140.0,,
1997-01-01,australia,observed,target,4850.0,,
1997-02-01,australia,observed,target,4910.0,,
1997-03-01,australia,observed,target,5380.0,,
1997-04-01,australia,observed,target,5340.0,,
1997-05-01,australia,observed,target,5910.0,,
1997-06-01,australia,observed,target,4640.0,,
1997-07-01,australia,observed,target,4590.0,,
1997-08-01,australia,observed,target,5160.0,,
1997-09-01,australia,observed,target,4880.0,,
1997-10-01,australia,observed,target,6230.0,,
1997-11-01,australia,observed,target,7150.0,,
1997-12-01,australia,observed,target,6810.0,,
1998-01-01,australia,observed,target,6710.0,,
1998-02-01,australia,observed,target,6440.0,,
1998-03-01,australia,observed,target,6510.0,,
1998-04-01,australia,observed,target,5550.0,,
1998-05-01,australia,observed,target,6460.0,,
1998-06-01,australia,observed,target,5480.0,,
1998-07-01,australia,observed,target,7950.0,,
1998-08-01,australia,observed,target,6340.0,,
1998-09-01,australia,observed,target,5250.0,,
1998-10-01,australia,observed,target,6460.0,,
1998-11-01,australia,observed,target,6420.0,,
1998-12-01,australia,observed,target,6990.0,,
1999-01-01,australia,observed,target,6700.0,,
1999-02-01,australia,observed,target,9660.0,,
1999-03-01,australia,observed,target,6400.0,,
1999-04-01,australia,observed,target,6160.0,,
1999-05-01,australia,observed,target,7110.0,,
1999-06-01,australia,observed,target,6130.0,,
1999-07-01,australia,observed,target,8700.0,,
1999-08-01,australia,observed,target,7180.0,,
1999-09-01,australia,observed,target,6930.0,,
1999-10-01,australia,observed,target,9500.0,,
1999-11-01,australia,observed,target,8990.0,,
1999-12-01,australia,observed,target,9130.0,,
2000-01-01,australia,observed,target,8860.0,,
2000-02-01,australia,observed,target,13970.0,,
2000-03-01,australia,observed,target,7330.0,,
2000-04-01,australia,observed,target,7880.0,,
2000-05-01,australia,observed,target,8960.0,,
2000-06-01,australia,observed,target,7590.0,,
2000-07-01,australia,observed,target,12470.0,,
2000-08-01,australia,observed,target,9920.0,,
2000-09-01,australia,observed,target,7830.0,,
2000-10-01,australia,observed,target,9950.0,,
2000-11-01,australia,observed,target,10930.0,,
2000-12-01,australia,observed,target,14570.0,,
2001-01-01,australia,observed,target,21470.0,,
2001-02-01,australia,observed,target,13420.0,,
2001-03-01,australia,observed,target,10390.0,,
2001-04-01,australia,observed,target,12660.0,,
2001-05-01,australia,observed,target,11320.0,,
2001-06-01,australia,observed,target,8530.0,,
2001-07-01,australia,observed,target,15990.0,,
2001-08-01,australia,observed,target,13440.0,,
2001-09-01,australia,observed,target,11480.0,,
2001-10-01,australia,observed,target,13080.0,,
2001-11-01,australia,observed,target,12260.0,,
2001-12-01,australia,observed,target,13900.0,,
2002-01-01,australia,observed,target,15400.0,,
2002-02-01,australia,observed,target,26200.0,,
2002-03-01,australia,observed,target,12280.0,,
2002-04-01,australia,observed,target,15080.0,,
