series_id,series_name,target_name,unit,group,subgroup,policy,distance,recovery,coefficient,legacy_observed_name,legacy_forecast_name,legacy_flight_name
canada,Canada,outbound_tourists,count,America,,3,1,2,0.7,Canada,加拿大,加拿大
chile,Chile,outbound_tourists,count,America,,3,1,3,0.7,Chile,智利,智利
mexico,Mexico,outbound_tourists,count,America,,5,1,5,1.0,Mexico,墨西哥,墨西哥
chinese_taipei,Chinese Taipei,outbound_tourists,count,East Asia,,1,5,1,0.6,Chinese Taipei,台湾,台北
hong_kong,Hong Kong SAR,outbound_tourists,count,East Asia,,5,5,3,0.85,Hong Kong SAR,香港,香港
japan,Japan,outbound_tourists,count,East Asia,,4,5,2,0.8,Japan,日本,日本
korea_rok,Korea (ROK),outbound_tourists,count,East Asia,,4,5,2,0.8,Korea (ROK),韩国,韩国
macao,"Macao, China",outbound_tourists,count,East Asia,,5,5,3,0.85,"Macao, China",澳门,澳门
maldives,Maldives,outbound_tourists,count,Southeast Asia,,4,3,5,0.8,Maldives,马尔代夫,马尔代夫
cambodia,Cambodia,outbound_tourists,count,Southeast Asia,,5,3,3,0.8,Cambodia,柬埔寨,柬埔寨
indonesia,Indonesia,outbound_tourists,count,Southeast Asia,,4,3,4,0.8,Indonesia,印尼,印度尼西亚
singapore,Singapore,outbound_tourists,count,Southeast Asia,,4,3,3,0.8,Singapore,新加坡,新加坡
new_zealand,New Zealand,outbound_tourists,count,Pacific,,3,1,3,0.65,New Zealand,新西兰,新西兰
usa,USA,outbound_tourists,count,America,,2,1,3,0.65,USA,美国,美国
thailand,Thailand,outbound_tourists,count,Southeast Asia,,5,3,4,0.85,Thailand,泰国,泰国
turkey,Turkey,outbound_tourists,count,West Asia,,4,2,3,0.75,Turkey,土耳其,土耳其
australia,Australia,outbound_tourists,count,Pacific,,4,2,3,0.8,Australia,澳大利亚,澳大利亚
hawaii,Hawaii,outbound_tourists,count,Pacific,,3,2,4,0.8,Hawaii,夏威夷,夏威夷
austria,Austria,outbound_tourists,count,Europe,,2,2,2,0.65,Austria,奥地利,奥地利
czech,Czech Republic,outbound_tourists,count,Europe,,2,2,2,0.65,Czech,捷克,捷克
